component,parameter,value,source
tfidf_word_logreg,tfidf__analyzer,'word',runtime sklearn estimator.get_params()
tfidf_word_logreg,tfidf__binary,False,runtime sklearn estimator.get_params()
tfidf_word_logreg,tfidf__decode_error,'strict',runtime sklearn estimator.get_params()
tfidf_word_logreg,tfidf__dtype,<class 'numpy.float64'>,runtime sklearn estimator.get_params()
tfidf_word_logreg,tfidf__encoding,'utf-8',runtime sklearn estimator.get_params()
tfidf_word_logreg,tfidf__input,'content',runtime sklearn estimator.get_params()
tfidf_word_logreg,tfidf__lowercase,True,runtime sklearn estimator.get_params()
tfidf_word_logreg,tfidf__max_df,1.0,runtime sklearn estimator.get_params()
tfidf_word_logreg,tfidf__max_features,30000,runtime sklearn estimator.get_params()
tfidf_word_logreg,tfidf__min_df,2,runtime sklearn estimator.get_params()
tfidf_word_logreg,tfidf__ngram_range,"(1, 2)",runtime sklearn estimator.get_params()
tfidf_word_logreg,tfidf__norm,'l2',runtime sklearn estimator.get_params()
tfidf_word_logreg,tfidf__preprocessor,None,runtime sklearn estimator.get_params()
tfidf_word_logreg,tfidf__smooth_idf,True,runtime sklearn estimator.get_params()
tfidf_word_logreg,tfidf__stop_words,None,runtime sklearn estimator.get_params()
tfidf_word_logreg,tfidf__strip_accents,None,runtime sklearn estimator.get_params()
tfidf_word_logreg,tfidf__sublinear_tf,False,runtime sklearn estimator.get_params()
tfidf_word_logreg,tfidf__token_pattern,'(?u)\\b\\w\\w+\\b',runtime sklearn estimator.get_params()
tfidf_word_logreg,tfidf__tokenizer,None,runtime sklearn estimator.get_params()
tfidf_word_logreg,tfidf__use_idf,True,runtime sklearn estimator.get_params()
tfidf_word_logreg,tfidf__vocabulary,None,runtime sklearn estimator.get_params()
tfidf_word_logreg,clf__C,1.0,runtime sklearn estimator.get_params()
tfidf_word_logreg,clf__class_weight,'balanced',runtime sklearn estimator.get_params()
tfidf_word_logreg,clf__dual,False,runtime sklearn estimator.get_params()
tfidf_word_logreg,clf__fit_intercept,True,runtime sklearn estimator.get_params()
tfidf_word_logreg,clf__intercept_scaling,1,runtime sklearn estimator.get_params()
tfidf_word_logreg,clf__l1_ratio,None,runtime sklearn estimator.get_params()
tfidf_word_logreg,clf__max_iter,3000,runtime sklearn estimator.get_params()
tfidf_word_logreg,clf__multi_class,'deprecated',runtime sklearn estimator.get_params()
tfidf_word_logreg,clf__n_jobs,None,runtime sklearn estimator.get_params()
tfidf_word_logreg,clf__penalty,'l2',runtime sklearn estimator.get_params()
tfidf_word_logreg,clf__random_state,None,runtime sklearn estimator.get_params()
tfidf_word_logreg,clf__solver,'lbfgs',runtime sklearn estimator.get_params()
tfidf_word_logreg,clf__tol,0.0001,runtime sklearn estimator.get_params()
tfidf_word_logreg,clf__verbose,0,runtime sklearn estimator.get_params()
tfidf_word_logreg,clf__warm_start,False,runtime sklearn estimator.get_params()
tfidf_char_logreg,tfidf__analyzer,'char_wb',runtime sklearn estimator.get_params()
tfidf_char_logreg,tfidf__binary,False,runtime sklearn estimator.get_params()
tfidf_char_logreg,tfidf__decode_error,'strict',runtime sklearn estimator.get_params()
tfidf_char_logreg,tfidf__dtype,<class 'numpy.float64'>,runtime sklearn estimator.get_params()
